App,Tag,FilePath,RelativeFilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractAdaptiveByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractAdaptiveByteBufTest.java,AbstractAdaptiveByteBufTest.java,AbstractAdaptiveByteBufTest,2,4,1,2,2,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractByteBufAllocatorTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractByteBufAllocatorTest.java,AbstractByteBufAllocatorTest.java,AbstractByteBufAllocatorTest,16,22,85,11,9,2,true,true,false,false,false,false,false,false,false,true
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java,AbstractByteBufTest.java,TestByteProcessor,69,688,1898,457,406,51,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractCompositeByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractCompositeByteBufTest.java,AbstractCompositeByteBufTest.java,AbstractCompositeByteBufTest,34,104,812,92,85,7,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractPooledByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractPooledByteBufTest.java,AbstractPooledByteBufTest.java,AbstractPooledByteBufTest,7,10,53,6,6,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AbstractReferenceCountedByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AbstractReferenceCountedByteBufTest.java,AbstractReferenceCountedByteBufTest.java,AbstractReferenceCountedByteBufTest,15,60,75,6,6,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveBigEndianDirectByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveBigEndianDirectByteBufTest.java,AdaptiveBigEndianDirectByteBufTest.java,AdaptiveBigEndianDirectByteBufTest,1,1,3,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveBigEndianHeapByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveBigEndianHeapByteBufTest.java,AdaptiveBigEndianHeapByteBufTest.java,AdaptiveBigEndianHeapByteBufTest,1,1,3,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveByteBufAllocatorGrowthTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveByteBufAllocatorGrowthTest.java,AdaptiveByteBufAllocatorGrowthTest.java,AdaptiveByteBufAllocatorGrowthTest,15,2,12,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveByteBufAllocatorTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveByteBufAllocatorTest.java,AdaptiveByteBufAllocatorTest.java,AdaptiveByteBufAllocatorTest,23,15,116,5,5,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveByteBufAllocatorUseCacheForNonEventLoopThreadsTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveByteBufAllocatorUseCacheForNonEventLoopThreadsTest.java,AdaptiveByteBufAllocatorUseCacheForNonEventLoopThreadsTest.java,CustomizeFastThreadLocalThreadWithoutCleanupFastThreadLocals,5,6,11,1,1,0,true,false,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveLittleEndianDirectByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveLittleEndianDirectByteBufTest.java,AdaptiveLittleEndianDirectByteBufTest.java,AdaptiveLittleEndianDirectByteBufTest,3,1,4,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptiveLittleEndianHeapByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptiveLittleEndianHeapByteBufTest.java,AdaptiveLittleEndianHeapByteBufTest.java,AdaptiveLittleEndianHeapByteBufTest,3,1,4,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdaptivePoolingAllocatorTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdaptivePoolingAllocatorTest.java,AdaptivePoolingAllocatorTest.java,AdaptivePoolingAllocatorTest,2,2,4,1,1,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdvancedLeakAwareByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdvancedLeakAwareByteBufTest.java,AdvancedLeakAwareByteBufTest.java,AdvancedLeakAwareByteBufTest,5,3,12,1,1,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AdvancedLeakAwareCompositeByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AdvancedLeakAwareCompositeByteBufTest.java,AdvancedLeakAwareCompositeByteBufTest.java,AdvancedLeakAwareCompositeByteBufTest,1,2,2,0,0,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\AlignedPooledByteBufAllocatorTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/AlignedPooledByteBufAllocatorTest.java,AlignedPooledByteBufAllocatorTest.java,AlignedPooledByteBufAllocatorTest,6,5,35,2,2,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\BigEndianCompositeByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/BigEndianCompositeByteBufTest.java,BigEndianCompositeByteBufTest.java,BigEndianCompositeByteBufTest,1,1,1,1,1,0,true,true,false,false,false,false,false,false,false,false
GitHub,relation_test_code_smell_ML,C:\Users\ismak\Documents\GitHub\relation_test_code_smell_ML\dataset\projects\netty\buffer\src\test\java\io\netty\buffer\BigEndianDirectByteBufTest.java,dataset/projects/netty/buffer/src/test/java/io/netty/buffer/BigEndianDirectByteBufTest.java,BigEndianDirectByteBufTest.java,BigEndianDirectByteBufTest,5,3,8,1,1,0,true,true,false,false,false,false,false,false,false,false
