project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
commons-lang,org/apache/commons/lang3/AbstractLang,AbstractLang,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/AbstractLangTest.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-lang,org/apache/commons/lang3/AnnotationUtils,AnnotationUtils,../dataset/projects/commons-lang/src/main/java/org/apache/commons/lang3/AnnotationUtils.java,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/AnnotationUtilsTest.java,1,3,1,4,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/AppendableJoiner,AppendableJoiner,../dataset/projects/commons-lang/src/main/java/org/apache/commons/lang3/AppendableJoiner.java,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/AppendableJoinerTest.java,1,1,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArchUtils,ArchUtils,../dataset/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArchUtils.java,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArchUtilsTest.java,1,1,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayFill,ArrayFill,../dataset/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArrayFill.java,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayFillTest.java,1,1,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArraySorter,ArraySorter,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArraySorterTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayUtils,ArrayUtils,../dataset/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArrayUtils.java,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,1,16,1,4,1,13,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayUtilsAdd,ArrayUtilsAdd,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsAddTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayUtilsConcat,ArrayUtilsConcat,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsConcatTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayUtilsGetDimensions,ArrayUtilsGetDimensions,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsGetDimensionsTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
commons-lang,org/apache/commons/lang3/ArrayUtilsInsert,ArrayUtilsInsert,,C:/Users/largu/Documents/Vietnam/dataset/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsInsertTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
