project,class_key,class_name,class_file,test_file,has_code_smell,code_smell_total,has_test_smell,test_smell_total,code_smell_CouplingBetweenObjects,code_smell_CyclomaticComplexity,code_smell_GodClass,code_smell_TooManyFields,code_smell_TooManyMethods,test_smell_App,test_smell_Version,test_smell_RelativeTestFilePath,test_smell_RelativeProductionFilePath,test_smell_Assertion Roulette,test_smell_Conditional Test Logic,test_smell_Constructor Initialization,test_smell_Default Test,test_smell_EmptyTest,test_smell_Exception Catching Throwing,test_smell_General Fixture,test_smell_Mystery Guest,test_smell_Print Statement,test_smell_Redundant Assertion,test_smell_Sensitive Equality,test_smell_Verbose Test,test_smell_Sleepy Test,test_smell_Eager Test,test_smell_Lazy Test,test_smell_Duplicate Assert,test_smell_Unknown Test,test_smell_IgnoredTest,test_smell_Resource Optimism,test_smell_Magic Number Test,test_smell_Dependent Test
junit5,DefaultPackage,DefaultPackage,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/vintage/src/test/java/DefaultPackageTest.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
junit5,Foo,Foo,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/gradle-missing-engine/src/test/java/FooTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
junit5,com/example/project/Calculator,Calculator,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/graalvm-starter/src/test/java/com/example/project/CalculatorTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junit5,com/example/project/Calculator,Calculator,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/jupiter-starter/src/test/java/com/example/project/CalculatorTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junit5,com/example/project/CalculatorParameterizedClass,CalculatorParameterizedClass,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/graalvm-starter/src/test/java/com/example/project/CalculatorParameterizedClassTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junit5,com/example/project/CalculatorParameterizedClass,CalculatorParameterizedClass,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/jupiter-starter/src/test/java/com/example/project/CalculatorParameterizedClassTests.java,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junit5,com/example/project/ClassLevelAnnotation,ClassLevelAnnotation,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/graalvm-starter/src/test/java/com/example/project/ClassLevelAnnotationTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
junit5,com/example/project/Dummy,Dummy,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/maven-surefire-compatibility/src/test/java/com/example/project/DummyTests.java,0,0,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
junit5,com/example/project/Vintage,Vintage,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/graalvm-starter/src/test/java/com/example/project/VintageTests.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
junit5,com/example/vintage/Vintage,Vintage,,C:/Users/ismak/Documents/GitHub/relation_test_code_smell_ML/dataset/projects/junit5/platform-tooling-support-tests/projects/vintage/src/test/java/com/example/vintage/VintageTest.java,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
